RHEA_ID,Protein,Stoichiometry,Isozyme,EC,KEGG_ID
RHEA:21248,SAPIG1827,1,0,2.7.7.6,R00444
RHEA:21248,SAPIG0618,1,0,2.7.7.6,R00444
RHEA:21248,SAPIG2277,1,0,2.7.7.6,R00444
RHEA:20125,SAPIG2426,1,0,1.18.1.2,R01195
RHEA:76995,SAPIG2426,1,0,1.18.1.2,R
RHEA:19465,SAPIG0251,1,0,1.14.12.17,R05725
RHEA:19469,SAPIG0251,1,0,1.14.12.17,R05724
RHEA:16873,SAPIG1253,1,0,2.1.1.74,R03704
RHEA:62372,SAPIG1253,1,0,2.1.1.74,R
RHEA:19225,SAPIG0236,1,0,1.97.1.4,R04710
RHEA:19225,SAPIG2663,1,0,1.97.1.4,R04710
RHEA:14433,SAPIG1457,1,0,2.7.7.72,R09382
RHEA:30295,SAPIG1751,1,0,2.7.1.40,R00430
RHEA:30727,SAPIG1751,1,0,2.7.1.40,R01138
RHEA:56948,SAPIG1751,1,0,2.7.1.40,R00659
RHEA:56952,SAPIG1751,1,0,2.7.1.40,R00572
RHEA:56956,SAPIG1751,1,0,2.7.1.40,R00724
RHEA:14305,SAPIG1265,1,0,6.1.1.15,R03661
RHEA:43892,SAPIG1769,1,0,2.8.1.7,R11528
RHEA:43892,SAPIG0899,1,0,2.8.1.7,R11528
RHEA:43892,SAPIG1686,1,0,2.8.1.7,R11528
RHEA:17521,SAPIG1995,1,0,6.3.5.7,R03905
RHEA:17521,SAPIG1994,1,0,6.3.5.7,R03905
RHEA:17521,SAPIG1993,1,0,6.3.5.7,R03905
RHEA:22048,SAPIG0788,1,0,4.2.3.12,R04286
RHEA:23752,SAPIG1634,1,0,2.7.1.66,R05626
RHEA:28122,SAPIG1634,1,0,2.7.1.66,R05626
RHEA:22096,SAPIG1276,1,0,2.7.7.8,R07282
RHEA:11116,SAPIG2423,1,0,2.3.1.57,R03910
RHEA:28150,SAPIG2423,1,0,2.3.1.57,R
RHEA:28270,SAPIG2423,1,0,2.3.1.57,R
RHEA:33099,SAPIG2423,1,0,2.3.1.57,R
RHEA:20792,SAPIG0583,1,0,6.1.1.6,R03658
RHEA:17773,SAPIG0605,1,0,6.1.1.16,R03650
RHEA:27551,SAPIG1262,1,0,2.5.1.31,R06447
RHEA:14217,SAPIG1425,1,0,1.8.4.11,R04120
RHEA:14217,SAPIG2712,1,0,1.8.4.11,R04120
RHEA:14217,SAPIG1362,1,0,1.8.4.11,R04120
RHEA:19993,SAPIG1425,1,0,1.8.4.11,R07606
RHEA:19993,SAPIG2712,1,0,1.8.4.11,R07606
RHEA:19993,SAPIG1362,1,0,1.8.4.11,R07606
RHEA:44152,SAPIG1104,1,0,3.1.3.25,R
RHEA:44152,SAPIG2362,1,0,3.1.3.25,R
RHEA:44156,SAPIG1104,1,0,3.1.3.25,R
RHEA:44156,SAPIG2362,1,0,3.1.3.25,R
RHEA:44160,SAPIG1104,1,0,3.1.3.25,R
RHEA:44160,SAPIG2362,1,0,3.1.3.25,R
RHEA:17969,SAPIG1014,1,0,6.3.2.7,R02786
RHEA:23372,SAPIG1793,1,0,6.3.2.8,R03193
RHEA:40159,SAPIG0168,1,0,1.1.1.367,R
RHEA:20061,SAPIG0631,1,0,2.7.1.74,R02321
