Protein,Stoichiometry,Isozyme,KEGG_ID
SAPIG1601,1,1,R03425
SAPIG0333,1,0,R02687
SAPIG2721,1,0,R02687
SAPIG0169,2,0,R00420
SAPIG0178,1,0,R00420
SAPIG2153,1,0,R00420
SAPIG0241,1,0,R07891
SAPIG1063,2,0,R07404
SAPIG1414,24,0,R02570
SAPIG0242,1,0,R07890
SAPIG0241,1,0,R03991
SAPIG1581,24,0,R03991
SAPIG2097,2,0,R01652
SAPIG1569,1,0,R01248
SAPIG1104,1,0,R01187
SAPIG0008,1,0,R01168
SAPIG1069,1,0,R04208
SAPIG0162,20,0,R08306
SAPIG0686,1,0,R08306
SAPIG0858,2,0,R08220
SAPIG1352,1,0,R04425
SAPIG1111,4,0,R00344
SAPIG1093,2,0,R03815
SAPIG1584,2,0,R03815
SAPIG1984,1,1,R00256
SAPIG1985,1,1,R00256
SAPIG0594,1,2,R00256
SAPIG0595,1,2,R00256
SAPIG0468,2,0,R00256
SAPIG1200,1,3,R00256
SAPIG1199,1,3,R00256
SAPIG0791,1,0,R00256
SAPIG1066,1,0,R00256
SAPIG2169,4,0,R00256
SAPIG2726,1,4,R00256
SAPIG2724,1,4,R00256
SAPIG0537,1,5,R00256
SAPIG0538,1,5,R00256
SAPIG2092,2,0,R04441
SAPIG2477,2,0,R03210
SAPIG0152,1,0,R01066
SAPIG2179,1,0,R01066
SAPIG0576,1,0,R02142
SAPIG0465,2,0,R02142
SAPIG1040,1,0,R01717
SAPIG1751,1,0,R02320
SAPIG0242,1,0,R04745
SAPIG0632,2,0,R01967
SAPIG0159,1,0,R02148
SAPIG1820,1,0,R00425
SAPIG0162,20,0,R06927
SAPIG0686,1,0,R06927
SAPIG0150,6,0,R02147
SAPIG1184,2,0,R02147
SAPIG2180,6,0,R02147
SAPIG0025,2,0,R01569
SAPIG0159,1,0,R01569
SAPIG1104,1,0,R01569
SAPIG1245,2,1,R02404
SAPIG1246,2,1,R02404
SAPIG0526,1,0,R01001
SAPIG1784,1,0,R00943
SAPIG1664,1,0,R00194
SAPIG2007,2,0,R00189
SAPIG2667,2,0,R03947
SAPIG2611,1,0,R12507
SAPIG2112,1,0,R01625
SAPIG1195,8,1,R00966
SAPIG2154,1,1,R00966
SAPIG0603,1,0,R05578
SAPIG2388,2,0,R01056
SAPIG1184,2,0,R01402
SAPIG1071,1,0,R01127
SAPIG0581,8,0,R03504
SAPIG2078,1,0,R03635
SAPIG1202,2,0,R08231
SAPIG0025,2,0,R02102
SAPIG0159,1,0,R02102
SAPIG1104,1,0,R02102
SAPIG1675,1,0,R00964
SAPIG1230,4,0,R04533
SAPIG2095,1,0,R05071
SAPIG2010,2,0,R00691
SAPIG1675,1,0,R00517
SAPIG0162,20,0,R06917
SAPIG0686,1,0,R06917
SAPIG2141,1,0,R04537
SAPIG2077,1,0,R00867
SAPIG0025,2,0,R03346
SAPIG0159,1,0,R03346
SAPIG1104,1,0,R03346
SAPIG2418,1,0,R01257
SAPIG2655,1,0,R01257
SAPIG1466,4,0,R01714
SAPIG0243,4,0,R01279
SAPIG0167,1,0,R00418
SAPIG2257,1,0,R10633
SAPIG1467,4,0,R00570
SAPIG0132,1,0,R12308
SAPIG0132,2,0,R12308
SAPIG0241,1,0,R05586
SAPIG1438,1,0,R00396
SAPIG1762,1,0,R00396
SAPIG2169,4,0,R00573
SAPIG0980,1,0,R02768
SAPIG2134,1,0,R03223
SAPIG1612,1,0,R01786
SAPIG2282,1,0,R11319
SAPIG0808,2,0,R11893
SAPIG0809,2,0,R11893
SAPIG0159,1,0,R03537
