RHEA_ID,Protein,Stoichiometry,Subunit,KEGG_ID,EC,DeltaG,RevIndex
RHEA:30946,SAPIG0243,1,0,R03777,1.3.3.6         1.3.8.7         1.3.8.8         1.3.99.-,40.69752348196653,8.21300617384552
RHEA:19952,SAPIG0580,1,0,R03067,2.5.1.15,-62.415100812291314,-12.595744518451697
RHEA:27881,SAPIG0159,1,0,R03538,3.1.4.16,-34.065749301958306,-13.749348137000599
RHEA:27881,SAPIG1290,1,0,R03538,3.1.4.16,-34.065749301958306,-13.749348137000599
RHEA:10339,SAPIG1352,1,0,R01324,4.2.1.3,7.6482759205811135,3.0869365986282093
RHEA:10255,SAPIG0579,1,0,R07274,2.5.1.47        2.5.1.65,-33.0881205404458,-6.677382676615262
RHEA:11579,SAPIG1222,1,0,R00619,2.7.6.2,-5.702282208964789,-1.1507550086675271
RHEA:17473,SAPIG0641,1,0,R05048,3.5.4.16,-97.2342091663361,-26.163267994950303
RHEA:17665,SAPIG1598,1,0,R12427,2.3.1.181,0.0,0.0
RHEA:32718,SAPIG2097,1,0,R00994,1.1.1.85,-19.848066721818128,-3.204367845083693
RHEA:25252,SAPIG2093,1,1,R00226,2.2.1.6,-27.018213699826333,-5.452438795723718
RHEA:25252,SAPIG2268,1,1,R00226,2.2.1.6,-27.018213699826333,-5.452438795723718
RHEA:26429,SAPIG2169,1,0,R00573,6.3.4.2,-38.07938871129605,-4.391229003275751
RHEA:20520,SAPIG0167,1,0,R00418,5.1.3.2         5.1.3.7,1.5328480075672815,0.6186759818589613
RHEA:27982,SAPIG0789,1,0,R09978,6.3.4.20,-103.5906745016996,-13.936816075344638
RHEA:39159,SAPIG2141,1,0,R04544,2.3.1.85        2.3.1.86        2.3.1.-         4.2.1.59,-0.4319535148258069,-0.17434165917494304
RHEA:12613,SAPIG0840,1,0,R00900,1.8.1.9         1.8.1.10,22.428768229364778,3.017507310506619
RHEA:18324,SAPIG0629,1,0,R01090,2.6.1.6         2.6.1.42        2.6.1.67,0.32317899510735515,0.06521947418373092
RHEA:30802,SAPIG0242,1,0,R01975,1.1.1.35,13.838066842477701,2.7926055122670235
RHEA:16948,SAPIG1602,1,0,R04125,2.1.2.10,,
RHEA:18384,SAPIG0728,1,0,R01012,2.7.1.121,-39.93810107903343,-8.059750143743102
RHEA:18384,SAPIG0729,1,0,R01012,2.7.1.121,-39.93810107903343,-8.059750143743102
RHEA:10935,SAPIG0944,1,0,R01954,6.3.4.5,16.87712582389861,2.270603986503294
RHEA:10915,SAPIG2646,1,0,R02473,6.3.2.1,-44.01701329218736,-5.921932851486071
RHEA:13620,SAPIG1664,1,0,R01401,3.2.2.9         3.2.2.16,-31.260322438570853,-8.411362632360946
RHEA:30658,SAPIG0548,1,0,R02098,2.7.4.4         2.7.4.9,0.883291213429743,0.17825350460001602
RHEA:17988,SAPIG0181,1,0,R03283,1.2.1.3         1.2.1.47,-42.437407800980964,-8.564125343545722
RHEA:17988,SAPIG2164,1,0,R03283,1.2.1.3         1.2.1.47,-42.437407800980964,-8.564125343545722
RHEA:27685,SAPIG1467,1,0,R02093,2.7.4.6,0.10916571417862997,0.022030300809793162
RHEA:30262,SAPIG1055,1,0,R09492,7.1.1.5,,
RHEA:30262,SAPIG1056,1,0,R09492,7.1.1.5,,
RHEA:30262,SAPIG1057,1,0,R09492,7.1.1.5,,
RHEA:30275,SAPIG1336,1,0,R02670,1.11.1.6        1.11.1.21,,
RHEA:45828,SAPIG1230,1,0,R04953,1.1.1.100       1.1.1.-         2.3.1.85        2.3.1.86,15.613807630929387,3.1509607341803516
RHEA:24383,SAPIG1215,1,0,R03940,2.1.2.9,,
RHEA:34854,SAPIG0242,1,0,R06941,1.1.1.35        1.1.1.157,15.619464251607724,3.152102274416206
RHEA:15096,SAPIG0801,1,0,R00734,2.6.1.1         2.6.1.5         2.6.1.9         2.6.1.57,0.37600128851897807,0.07587933219938077
RHEA:15096,SAPIG2728,1,0,R00734,2.6.1.1         2.6.1.5         2.6.1.9         2.6.1.57,0.37600128851897807,0.07587933219938077
RHEA:27693,SAPIG1467,1,0,R01857,2.7.4.6,1.7688697442641796,0.3569686036745611
