Type,Metabolite,CHEBI,Protein,Stoichiometry,Subunit
Symport,adenine/Na,CHEBI:16708/CHEBI:29101,,1,
Symport,adenine/Na,CHEBI:16708/CHEBI:29101,,1,
Symport,sulfate/Na,CHEBI:16189/CHEBI:29101,,1,
Symport,sulfate/Na,CHEBI:16189/CHEBI:29101,,1,
Symport,sulfate/Na,CHEBI:16189/CHEBI:29101,,1,
Symport,sulfate/Na,CHEBI:16189/CHEBI:29101,,1,
Symport,sulfate/Na,CHEBI:16189/CHEBI:29101,,1,
Symport,sulfate/Na,CHEBI:16189/CHEBI:29101,,1,
Symport,asparate/Na,CHEBI:29991/CHEBI:29101,,1,
Symport,asparate/Na,CHEBI:29991/CHEBI:29101,,1,
Symport,asparate/Na,CHEBI:29991/CHEBI:29101,,1,
Symport,asparate/Na,CHEBI:29991/CHEBI:29101,,1,
Symport,asparate/Na,CHEBI:29991/CHEBI:29101,,1,
Symport,asparate/Na,CHEBI:29991/CHEBI:29101,,1,
Symport,malate/Na,CHEBI:15589/CHEBI:29101,,1,
Symport,malate/Na,CHEBI:15589/CHEBI:29101,,1,
Symport,malate/Na,CHEBI:15589/CHEBI:29101,,1,
Symport,malate/Na,CHEBI:15589/CHEBI:29101,,1,
Symport,malate/Na,CHEBI:15589/CHEBI:29101,,1,
Symport,malate/Na,CHEBI:15589/CHEBI:29101,,1,
Symport,fumarate/Na,CHEBI:29806/CHEBI:29101,,1,
Symport,fumarate/Na,CHEBI:29806/CHEBI:29101,,1,
Symport,fumarate/Na,CHEBI:29806/CHEBI:29101,,1,
Symport,fumarate/Na,CHEBI:29806/CHEBI:29101,,1,
Symport,fumarate/Na,CHEBI:29806/CHEBI:29101,,1,
Symport,fumarate/Na,CHEBI:29806/CHEBI:29101,,1,
Symport,succinate/Na,CHEBI:30031/CHEBI:29101,,1,
Symport,succinate/Na,CHEBI:30031/CHEBI:29101,,1,
Symport,succinate/Na,CHEBI:30031/CHEBI:29101,,1,
Symport,succinate/Na,CHEBI:30031/CHEBI:29101,,1,
Symport,succinate/Na,CHEBI:30031/CHEBI:29101,,1,
Symport,succinate/Na,CHEBI:30031/CHEBI:29101,,1,
Symport,sulfate/H,CHEBI:16189/CHEBI:15378,,1,
Symport,sulfate/H,CHEBI:16189/CHEBI:15378,,1,
Symport,sulfate/H,CHEBI:16189/CHEBI:15378,,1,
Symport,sulfate/H,CHEBI:16189/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,succinate/H,CHEBI:30031/CHEBI:15378,,1,
Symport,succinate/H,CHEBI:30031/CHEBI:15378,,1,
